,Unnamed: 0,image_file_name,item_radius,num_item,target_angle,target_x,target_y,iou_conv1_poolsize8,iou_conv2_poolsize8,iou_conv3_poolsize8,iou_conv4_poolsize8,iou_conv5_poolsize8
27,27,0027.png,20.0,6.0,3.1415926535897927,330.0,210.0,0.0,0.027728082612156868,0.027728082612156868,0.027728082612156868,0.0
28,28,0028.png,20.0,7.0,3.1415926535897927,570.0,330.0,0.0,0.39375293254852295,0.39375293254852295,0.39375293254852295,0.0
29,29,0029.png,20.0,8.0,3.1415926535897927,390.0,330.0,0.5235103964805603,0.5235103964805603,0.0,0.0,0.0
30,30,0030.png,20.0,3.0,3.5342917352885173,510.0,450.0,0.0,0.0,0.0,0.0,0.0
31,31,0031.png,20.0,4.0,3.5342917352885173,30.0,510.0,0.0,0.0,0.0,0.0,0.0
32,32,0032.png,20.0,5.0,3.5342917352885173,570.0,390.0,0.0,0.466810941696167,0.466810941696167,0.466810941696167,0.0
33,33,0033.png,20.0,6.0,3.5342917352885173,450.0,150.0,0.0,0.5676847696304321,0.5676847696304321,0.0,0.0
34,34,0034.png,20.0,7.0,3.5342917352885173,510.0,450.0,0.5689818859100342,0.0,0.0,0.0,0.0
35,35,0035.png,20.0,8.0,3.5342917352885173,330.0,510.0,0.5983074307441711,0.5983074307441711,0.0,0.0,0.0
36,36,0036.png,20.0,3.0,3.9269908169872414,390.0,450.0,0.0,0.0,0.08095818012952805,0.0,0.0
37,37,0037.png,20.0,4.0,3.9269908169872414,330.0,150.0,0.0,0.6441380977630615,0.6441380977630615,0.0,0.0
38,38,0038.png,20.0,5.0,3.9269908169872414,450.0,450.0,0.0,0.015516333281993866,0.015516333281993866,0.0,0.0
39,39,0039.png,20.0,6.0,3.9269908169872414,510.0,210.0,0.0,0.6622337102890015,0.6622337102890015,0.0,0.0
40,40,0040.png,20.0,7.0,3.9269908169872414,150.0,570.0,0.0,0.6207014918327332,0.0,0.0,0.0
41,41,0041.png,20.0,8.0,3.9269908169872414,210.0,210.0,0.16483105719089508,0.16483105719089508,0.16483105719089508,0.16483105719089508,0.0
42,42,0042.png,20.0,3.0,4.319689898685965,390.0,30.0,0.0,0.6342706680297852,0.6342706680297852,0.0,0.0
43,43,0043.png,20.0,4.0,4.319689898685965,330.0,30.0,0.0,0.633597731590271,0.633597731590271,0.0,0.0
44,44,0044.png,20.0,5.0,4.319689898685965,210.0,510.0,0.0,0.3898927867412567,0.0,0.0,0.0
45,45,0045.png,20.0,6.0,4.319689898685965,390.0,330.0,0.0,0.0,0.0,0.0,0.0
46,46,0046.png,20.0,7.0,4.319689898685965,210.0,330.0,0.0,0.5487902164459229,0.0,0.0,0.0
47,47,0047.png,20.0,8.0,4.319689898685965,210.0,210.0,0.0,0.0,0.046892400830984116,0.046892400830984116,0.046892400830984116
